Sexo;Comunidad autónoma y provincia de residencia;País de nacionalidad;Unidades de medida;Total
Ambos sexos;06 Cantabria;Países Bajos;Edad media;49,52
Ambos sexos;06 Cantabria;Polonia;Edad media;37,86
Ambos sexos;06 Cantabria;Portugal;Edad media;41,22
Ambos sexos;06 Cantabria;Andorra;Edad media;30,93
Ambos sexos;06 Cantabria;Reino Unido;Edad media;45,86
Ambos sexos;06 Cantabria;Alemania;Edad media;51,03
Ambos sexos;06 Cantabria;Rumanía;Edad media;33,89
Ambos sexos;06 Cantabria;Suecia;Edad media;52,32
Ambos sexos;06 Cantabria;Suiza;Edad media;49,31
Ambos sexos;06 Cantabria;Ucrania;Edad media;38,79
Ambos sexos;06 Cantabria;Letonia;Edad media;39,67
Ambos sexos;06 Cantabria;Moldavia;Edad media;34,69
Ambos sexos;06 Cantabria;Belarús;Edad media;36,46
Ambos sexos;06 Cantabria;Georgia;Edad media;28,27
Ambos sexos;06 Cantabria;Estonia;Edad media;37,09
Ambos sexos;06 Cantabria;Lituania;Edad media;34,83
Ambos sexos;06 Cantabria;República Checa;Edad media;34,57
Ambos sexos;06 Cantabria;República Eslovaca;Edad media;39,97
Ambos sexos;06 Cantabria;Croacia;Edad media;33,92
Ambos sexos;06 Cantabria;Armenia;Edad media;34,94
Ambos sexos;06 Cantabria;Rusia;Edad media;36,4
Ambos sexos;06 Cantabria;Serbia;Edad media;38,58
Ambos sexos;06 Cantabria;Otros países de Europa;Edad media;40,63
Ambos sexos;06 Cantabria;Angola;Edad media;37,77
Ambos sexos;06 Cantabria;Argelia;Edad media;34,41
Ambos sexos;06 Cantabria;Cabo Verde;Edad media;44,87
Ambos sexos;06 Cantabria;Camerún;Edad media;32,61
Ambos sexos;06 Cantabria;Costa de Marfil;Edad media;30,59
Ambos sexos;06 Cantabria;Egipto;Edad media;41,3
Ambos sexos;06 Cantabria;Etiopía;Edad media;25,08
Ambos sexos;06 Cantabria;Gambia;Edad media;30,4
Ambos sexos;06 Cantabria;Ghana;Edad media;33,35
Ambos sexos;06 Cantabria;Guinea;Edad media;29,97
Ambos sexos;06 Cantabria;Guinea-Bissau;Edad media;30,45
Ambos sexos;06 Cantabria;Guinea Ecuatorial;Edad media;27,62
Ambos sexos;06 Cantabria;Mali;Edad media;31,25
Ambos sexos;06 Cantabria;Marruecos;Edad media;30,92
Ambos sexos;06 Cantabria;Mauritania;Edad media;38,54
Ambos sexos;06 Cantabria;Nigeria;Edad media;32,02
Ambos sexos;06 Cantabria;Sudáfrica;Edad media;40,85
Ambos sexos;06 Cantabria;Senegal;Edad media;34,91
Ambos sexos;06 Cantabria;Túnez;Edad media;40,3
Ambos sexos;06 Cantabria;Otros países de África;Edad media;33,97
Ambos sexos;06 Cantabria;Canadá;Edad media;41,66
Ambos sexos;06 Cantabria;Estados Unidos de América;Edad media;44,19
Ambos sexos;06 Cantabria;México;Edad media;38,75
Ambos sexos;06 Cantabria;Costa Rica;Edad media;31,14
Ambos sexos;06 Cantabria;Cuba;Edad media;39,88
Ambos sexos;06 Cantabria;El Salvador;Edad media;26,49
Ambos sexos;06 Cantabria;Guatemala;Edad media;30,89
Ambos sexos;06 Cantabria;Honduras;Edad media;30,58
Ambos sexos;06 Cantabria;Nicaragua;Edad media;32,31
Ambos sexos;06 Cantabria;Panamá;Edad media;28,08
Ambos sexos;06 Cantabria;República Dominicana;Edad media;32,97
Ambos sexos;06 Cantabria;Argentina;Edad media;39,06
Ambos sexos;06 Cantabria;Bolivia;Edad media;34,04
Ambos sexos;06 Cantabria;Brasil;Edad media;35,21
Ambos sexos;06 Cantabria;Colombia;Edad media;35,09
Ambos sexos;06 Cantabria;Chile;Edad media;36,16
Ambos sexos;06 Cantabria;Ecuador;Edad media;35
Ambos sexos;06 Cantabria;Paraguay;Edad media;35,03
Ambos sexos;06 Cantabria;Perú;Edad media;36,19
Ambos sexos;06 Cantabria;Uruguay;Edad media;43,65
Ambos sexos;06 Cantabria;Venezuela;Edad media;36,14
Ambos sexos;06 Cantabria;Otros países de América;Edad media;38,91
Ambos sexos;06 Cantabria;Bangladesh;Edad media;34,5
Ambos sexos;06 Cantabria;China;Edad media;31,07
Ambos sexos;06 Cantabria;Filipinas;Edad media;43,54
Ambos sexos;06 Cantabria;India;Edad media;34,34
Ambos sexos;06 Cantabria;Indonesia;Edad media;39,35
Ambos sexos;06 Cantabria;Iraq;Edad media;45,36
Ambos sexos;06 Cantabria;Irán;Edad media;39,17
Ambos sexos;06 Cantabria;Israel;Edad media;41,78
Ambos sexos;06 Cantabria;Japón;Edad media;50,65
Ambos sexos;06 Cantabria;Jordania;Edad media;44,03
Ambos sexos;06 Cantabria;Líbano;Edad media;39,78
Ambos sexos;06 Cantabria;Nepal;Edad media;25,32
Ambos sexos;06 Cantabria;Pakistán;Edad media;31,71
Ambos sexos;06 Cantabria;Corea;Edad media;36,26
Ambos sexos;06 Cantabria;Siria;Edad media;25,12
Ambos sexos;06 Cantabria;Tailandia;Edad media;40,16
Ambos sexos;06 Cantabria;Turquía;Edad media;36,44
Ambos sexos;06 Cantabria;Vietnam;Edad media;29,37
Ambos sexos;06 Cantabria;Kazajstán;Edad media;44,79
Ambos sexos;06 Cantabria;Otros países de Asia;Edad media;36,94
Ambos sexos;06 Cantabria;Australia;Edad media;50,09
Ambos sexos;06 Cantabria;Apátridas;Edad media;32,91
Ambos sexos;06 Cantabria;Otros países de Oceanía;Edad media;37,33
Ambos sexos;39 Cantabria;Total;Edad media;46,08
Ambos sexos;39 Cantabria;Albania;Edad media;27,77
Ambos sexos;39 Cantabria;Austria;Edad media;35,05
Ambos sexos;39 Cantabria;Bélgica;Edad media;48,35
Ambos sexos;39 Cantabria;Bulgaria;Edad media;42,6
Ambos sexos;39 Cantabria;Dinamarca;Edad media;45,57
Ambos sexos;39 Cantabria;España;Edad media;46,74
Ambos sexos;39 Cantabria;Finlandia;Edad media;44,44
Ambos sexos;39 Cantabria;Francia;Edad media;45,7
Ambos sexos;39 Cantabria;Grecia;Edad media;38,85
Ambos sexos;39 Cantabria;Hungría;Edad media;31,99
Ambos sexos;39 Cantabria;Irlanda;Edad media;42,56
Ambos sexos;39 Cantabria;Italia;Edad media;39,19
Ambos sexos;39 Cantabria;Noruega;Edad media;65,2
Ambos sexos;39 Cantabria;Países Bajos;Edad media;49,52
Ambos sexos;39 Cantabria;Polonia;Edad media;37,86
Ambos sexos;39 Cantabria;Portugal;Edad media;41,22
Ambos sexos;39 Cantabria;Andorra;Edad media;30,93
Ambos sexos;39 Cantabria;Reino Unido;Edad media;45,86
Ambos sexos;39 Cantabria;Alemania;Edad media;51,03
Ambos sexos;39 Cantabria;Rumanía;Edad media;33,89
Ambos sexos;39 Cantabria;Suecia;Edad media;52,32
Ambos sexos;39 Cantabria;Suiza;Edad media;49,31
Ambos sexos;39 Cantabria;Ucrania;Edad media;38,79
Ambos sexos;39 Cantabria;Letonia;Edad media;39,67
Ambos sexos;39 Cantabria;Moldavia;Edad media;34,69
Ambos sexos;39 Cantabria;Belarús;Edad media;36,46
Ambos sexos;39 Cantabria;Georgia;Edad media;28,27
Ambos sexos;39 Cantabria;Estonia;Edad media;37,09
Ambos sexos;39 Cantabria;Lituania;Edad media;34,83
Ambos sexos;39 Cantabria;República Checa;Edad media;34,57
Ambos sexos;39 Cantabria;República Eslovaca;Edad media;39,97
Ambos sexos;39 Cantabria;Croacia;Edad media;33,92
Ambos sexos;39 Cantabria;Armenia;Edad media;34,94
Ambos sexos;39 Cantabria;Rusia;Edad media;36,4
Ambos sexos;39 Cantabria;Serbia;Edad media;38,58
Ambos sexos;39 Cantabria;Otros países de Europa;Edad media;40,63
Ambos sexos;39 Cantabria;Angola;Edad media;37,77
Ambos sexos;39 Cantabria;Argelia;Edad media;34,41
Ambos sexos;39 Cantabria;Cabo Verde;Edad media;44,87
Ambos sexos;39 Cantabria;Camerún;Edad media;32,61
Ambos sexos;39 Cantabria;Costa de Marfil;Edad media;30,59
Ambos sexos;39 Cantabria;Egipto;Edad media;41,3
Ambos sexos;39 Cantabria;Etiopía;Edad media;25,08
Ambos sexos;39 Cantabria;Gambia;Edad media;30,4
Ambos sexos;39 Cantabria;Ghana;Edad media;33,35
Ambos sexos;39 Cantabria;Guinea;Edad media;29,97
Ambos sexos;39 Cantabria;Guinea-Bissau;Edad media;30,45
Ambos sexos;39 Cantabria;Guinea Ecuatorial;Edad media;27,62
Ambos sexos;39 Cantabria;Mali;Edad media;31,25
Ambos sexos;39 Cantabria;Marruecos;Edad media;30,92
Ambos sexos;39 Cantabria;Mauritania;Edad media;38,54
Ambos sexos;39 Cantabria;Nigeria;Edad media;32,02
Ambos sexos;39 Cantabria;Sudáfrica;Edad media;40,85
Ambos sexos;39 Cantabria;Senegal;Edad media;34,91
Ambos sexos;39 Cantabria;Túnez;Edad media;40,3
Ambos sexos;39 Cantabria;Otros países de África;Edad media;33,97
Ambos sexos;39 Cantabria;Canadá;Edad media;41,66
Ambos sexos;39 Cantabria;Estados Unidos de América;Edad media;44,19
Ambos sexos;39 Cantabria;México;Edad media;38,75
Ambos sexos;39 Cantabria;Costa Rica;Edad media;31,14
Ambos sexos;39 Cantabria;Cuba;Edad media;39,88
Ambos sexos;39 Cantabria;El Salvador;Edad media;26,49
Ambos sexos;39 Cantabria;Guatemala;Edad media;30,89
Ambos sexos;39 Cantabria;Honduras;Edad media;30,58
Ambos sexos;39 Cantabria;Nicaragua;Edad media;32,31
Ambos sexos;39 Cantabria;Panamá;Edad media;28,08
Ambos sexos;39 Cantabria;República Dominicana;Edad media;32,97
Ambos sexos;39 Cantabria;Argentina;Edad media;39,06
Ambos sexos;39 Cantabria;Bolivia;Edad media;34,04
Ambos sexos;39 Cantabria;Brasil;Edad media;35,21
Ambos sexos;39 Cantabria;Colombia;Edad media;35,09
Ambos sexos;39 Cantabria;Chile;Edad media;36,16
Ambos sexos;39 Cantabria;Ecuador;Edad media;35
Ambos sexos;39 Cantabria;Paraguay;Edad media;35,03
Ambos sexos;39 Cantabria;Perú;Edad media;36,19
Ambos sexos;39 Cantabria;Uruguay;Edad media;43,65
Ambos sexos;39 Cantabria;Venezuela;Edad media;36,14
Ambos sexos;39 Cantabria;Otros países de América;Edad media;38,91
Ambos sexos;39 Cantabria;Bangladesh;Edad media;34,5
Ambos sexos;39 Cantabria;China;Edad media;31,07
Ambos sexos;39 Cantabria;Filipinas;Edad media;43,54
Ambos sexos;39 Cantabria;India;Edad media;34,34
Ambos sexos;39 Cantabria;Indonesia;Edad media;39,35
Ambos sexos;39 Cantabria;Iraq;Edad media;45,36
Ambos sexos;39 Cantabria;Irán;Edad media;39,17
Ambos sexos;39 Cantabria;Israel;Edad media;41,78
Ambos sexos;39 Cantabria;Japón;Edad media;50,65
Ambos sexos;39 Cantabria;Jordania;Edad media;44,03
Ambos sexos;39 Cantabria;Líbano;Edad media;39,78
Ambos sexos;39 Cantabria;Nepal;Edad media;25,32
Ambos sexos;39 Cantabria;Pakistán;Edad media;31,71
Ambos sexos;39 Cantabria;Corea;Edad media;36,26
Ambos sexos;39 Cantabria;Siria;Edad media;25,12
Ambos sexos;39 Cantabria;Tailandia;Edad media;40,16
Ambos sexos;39 Cantabria;Turquía;Edad media;36,44
Ambos sexos;39 Cantabria;Vietnam;Edad media;29,37
Ambos sexos;39 Cantabria;Kazajstán;Edad media;44,79
Ambos sexos;39 Cantabria;Otros países de Asia;Edad media;36,94
Ambos sexos;39 Cantabria;Australia;Edad media;50,09
Ambos sexos;39 Cantabria;Apátridas;Edad media;32,91
Ambos sexos;39 Cantabria;Otros países de Oceanía;Edad media;37,33
Ambos sexos;07 Castilla y León;Total;Edad media;47,93
Ambos sexos;07 Castilla y León;Albania;Edad media;33,97
Ambos sexos;07 Castilla y León;Austria;Edad media;39,6
Ambos sexos;07 Castilla y León;Bélgica;Edad media;46,83
Ambos sexos;07 Castilla y León;Bulgaria;Edad media;36,78
Ambos sexos;07 Castilla y León;Dinamarca;Edad media;44,55
Ambos sexos;07 Castilla y León;España;Edad media;48,77
Ambos sexos;07 Castilla y León;Finlandia;Edad media;40,71
Ambos sexos;07 Castilla y León;Francia;Edad media;46,46
Ambos sexos;07 Castilla y León;Grecia;Edad media;37,44
Ambos sexos;07 Castilla y León;Hungría;Edad media;39,12
Ambos sexos;07 Castilla y León;Irlanda;Edad media;41,86
Ambos sexos;07 Castilla y León;Italia;Edad media;41,35
Ambos sexos;07 Castilla y León;Noruega;Edad media;42,47
Ambos sexos;07 Castilla y León;Países Bajos;Edad media;47,57
Ambos sexos;07 Castilla y León;Polonia;Edad media;36,87
Ambos sexos;07 Castilla y León;Portugal;Edad media;43,82
Ambos sexos;07 Castilla y León;Andorra;Edad media;33,52
Ambos sexos;07 Castilla y León;Reino Unido;Edad media;42,67
Ambos sexos;07 Castilla y León;Alemania;Edad media;48,45
Ambos sexos;07 Castilla y León;Rumanía;Edad media;33,94
Ambos sexos;07 Castilla y León;Suecia;Edad media;42,46
Ambos sexos;07 Castilla y León;Suiza;Edad media;54,38
Ambos sexos;07 Castilla y León;Ucrania;Edad media;37,65
Ambos sexos;07 Castilla y León;Letonia;Edad media;37,25
Ambos sexos;07 Castilla y León;Moldavia;Edad media;33,48
Ambos sexos;07 Castilla y León;Belarús;Edad media;35,71
Ambos sexos;07 Castilla y León;Georgia;Edad media;32,41
Ambos sexos;07 Castilla y León;Estonia;Edad media;34,72
Ambos sexos;07 Castilla y León;Lituania;Edad media;39,73
Ambos sexos;07 Castilla y León;República Checa;Edad media;42,59
Ambos sexos;07 Castilla y León;República Eslovaca;Edad media;39,78
Ambos sexos;07 Castilla y León;Croacia;Edad media;37,26
Ambos sexos;07 Castilla y León;Armenia;Edad media;37,09
Ambos sexos;07 Castilla y León;Rusia;Edad media;38,77
Ambos sexos;07 Castilla y León;Serbia;Edad media;37,02
Ambos sexos;07 Castilla y León;Otros países de Europa;Edad media;34,2
Ambos sexos;07 Castilla y León;Angola;Edad media;36,46
Ambos sexos;07 Castilla y León;Argelia;Edad media;31,12
Ambos sexos;07 Castilla y León;Cabo Verde;Edad media;45,02
Ambos sexos;07 Castilla y León;Camerún;Edad media;32,93
Ambos sexos;07 Castilla y León;Costa de Marfil;Edad media;29,79
Ambos sexos;07 Castilla y León;Egipto;Edad media;35,37
Ambos sexos;07 Castilla y León;Etiopía;Edad media;29,54
Ambos sexos;07 Castilla y León;Gambia;Edad media;30,23
Ambos sexos;07 Castilla y León;Ghana;Edad media;29,72
Ambos sexos;07 Castilla y León;Guinea;Edad media;27,66
Ambos sexos;07 Castilla y León;Guinea-Bissau;Edad media;35,02
Ambos sexos;07 Castilla y León;Guinea Ecuatorial;Edad media;27,29
Ambos sexos;07 Castilla y León;Mali;Edad media;32,14
Ambos sexos;07 Castilla y León;Marruecos;Edad media;30,44
Ambos sexos;07 Castilla y León;Mauritania;Edad media;39,71
Ambos sexos;07 Castilla y León;Nigeria;Edad media;33,75
Ambos sexos;07 Castilla y León;Sudáfrica;Edad media;30,47
Ambos sexos;07 Castilla y León;Senegal;Edad media;32,14
Ambos sexos;07 Castilla y León;Túnez;Edad media;31,67
Ambos sexos;07 Castilla y León;Otros países de África;Edad media;33,02
Ambos sexos;07 Castilla y León;Canadá;Edad media;43,85
Ambos sexos;07 Castilla y León;Estados Unidos de América;Edad media;41,51
Ambos sexos;07 Castilla y León;México;Edad media;35,87
Ambos sexos;07 Castilla y León;Costa Rica;Edad media;36,55
Ambos sexos;07 Castilla y León;Cuba;Edad media;39,55
Ambos sexos;07 Castilla y León;El Salvador;Edad media;29,43
Ambos sexos;07 Castilla y León;Guatemala;Edad media;32,49
Ambos sexos;07 Castilla y León;Honduras;Edad media;29,92
Ambos sexos;07 Castilla y León;Nicaragua;Edad media;32,28
Ambos sexos;07 Castilla y León;Panamá;Edad media;31,82
Ambos sexos;07 Castilla y León;República Dominicana;Edad media;32,38
Ambos sexos;07 Castilla y León;Argentina;Edad media;37,66
Ambos sexos;07 Castilla y León;Bolivia;Edad media;34,54
Ambos sexos;07 Castilla y León;Brasil;Edad media;34,77
Ambos sexos;07 Castilla y León;Colombia;Edad media;34,44
Ambos sexos;07 Castilla y León;Chile;Edad media;38,74
Ambos sexos;07 Castilla y León;Ecuador;Edad media;36,35
Ambos sexos;07 Castilla y León;Paraguay;Edad media;33,26
Ambos sexos;07 Castilla y León;Perú;Edad media;35,21
Ambos sexos;07 Castilla y León;Uruguay;Edad media;39,32
Ambos sexos;07 Castilla y León;Venezuela;Edad media;33,62
Ambos sexos;07 Castilla y León;Otros países de América;Edad media;35,74
Ambos sexos;07 Castilla y León;Bangladesh;Edad media;27,72
Ambos sexos;07 Castilla y León;China;Edad media;30,58
Ambos sexos;07 Castilla y León;Filipinas;Edad media;37,53
Ambos sexos;07 Castilla y León;India;Edad media;32,85
Ambos sexos;07 Castilla y León;Indonesia;Edad media;31,52
Ambos sexos;07 Castilla y León;Iraq;Edad media;26,94
Ambos sexos;07 Castilla y León;Irán;Edad media;39,94
Ambos sexos;07 Castilla y León;Israel;Edad media;41,88
Ambos sexos;07 Castilla y León;Japón;Edad media;44,24
Ambos sexos;07 Castilla y León;Jordania;Edad media;42,58
Ambos sexos;07 Castilla y León;Líbano;Edad media;34,12
Ambos sexos;07 Castilla y León;Nepal;Edad media;29,58
Ambos sexos;07 Castilla y León;Pakistán;Edad media;30,84
Ambos sexos;07 Castilla y León;Corea;Edad media;41,93
Ambos sexos;07 Castilla y León;Siria;Edad media;26,48
Ambos sexos;07 Castilla y León;Tailandia;Edad media;45,2
Ambos sexos;07 Castilla y León;Turquía;Edad media;32,04
Ambos sexos;07 Castilla y León;Vietnam;Edad media;31,11
Ambos sexos;07 Castilla y León;Kazajstán;Edad media;34,4
Ambos sexos;07 Castilla y León;Otros países de Asia;Edad media;29,07
Ambos sexos;07 Castilla y León;Australia;Edad media;38,97
Ambos sexos;07 Castilla y León;Apátridas;Edad media;33,96
Ambos sexos;07 Castilla y León;Otros países de Oceanía;Edad media;41,4
Ambos sexos;05 Ávila;Total;Edad media;47,94
Ambos sexos;05 Ávila;Albania;Edad media;34,01
Ambos sexos;05 Ávila;Austria;Edad media;44,59
Ambos sexos;05 Ávila;Bélgica;Edad media;48,46
Ambos sexos;05 Ávila;Bulgaria;Edad media;38,36
Ambos sexos;05 Ávila;Dinamarca;Edad media;52,91
Ambos sexos;05 Ávila;España;Edad media;48,99
Ambos sexos;05 Ávila;Finlandia;Edad media;38,03
Ambos sexos;05 Ávila;Francia;Edad media;50,58
Ambos sexos;05 Ávila;Grecia;Edad media;49,56
Ambos sexos;05 Ávila;Hungría;Edad media;36,66
Ambos sexos;05 Ávila;Irlanda;Edad media;53,07
Ambos sexos;05 Ávila;Italia;Edad media;42,57
Ambos sexos;05 Ávila;Noruega;Edad media;23,98
Ambos sexos;05 Ávila;Países Bajos;Edad media;46,44
Ambos sexos;05 Ávila;Polonia;Edad media;42,52
Ambos sexos;05 Ávila;Portugal;Edad media;47,78
Ambos sexos;05 Ávila;Andorra;Edad media;0
Ambos sexos;05 Ávila;Reino Unido;Edad media;46,9
Ambos sexos;05 Ávila;Alemania;Edad media;57,18
Ambos sexos;05 Ávila;Rumanía;Edad media;33,85
Ambos sexos;05 Ávila;Suecia;Edad media;38,63
Ambos sexos;05 Ávila;Suiza;Edad media;65,1
Ambos sexos;05 Ávila;Ucrania;Edad media;39,28
Ambos sexos;05 Ávila;Letonia;Edad media;34,84
Ambos sexos;05 Ávila;Moldavia;Edad media;41,74
Ambos sexos;05 Ávila;Belarús;Edad media;37,06
Ambos sexos;05 Ávila;Georgia;Edad media;21,92
Ambos sexos;05 Ávila;Estonia;Edad media;42,56
Ambos sexos;05 Ávila;Lituania;Edad media;24,59
Ambos sexos;05 Ávila;República Checa;Edad media;0
Ambos sexos;05 Ávila;República Eslovaca;Edad media;19,62
Ambos sexos;05 Ávila;Croacia;Edad media;42,56
Ambos sexos;05 Ávila;Armenia;Edad media;22,39
Ambos sexos;05 Ávila;Rusia;Edad media;37,97
Ambos sexos;05 Ávila;Serbia;Edad media;50,79
Ambos sexos;05 Ávila;Otros países de Europa;Edad media;34,09
Ambos sexos;05 Ávila;Angola;Edad media;19,37
Ambos sexos;05 Ávila;Argelia;Edad media;32,05
Ambos sexos;05 Ávila;Cabo Verde;Edad media;44,15
Ambos sexos;05 Ávila;Camerún;Edad media;40,91
Ambos sexos;05 Ávila;Costa de Marfil;Edad media;29,37
Ambos sexos;05 Ávila;Egipto;Edad media;0
Ambos sexos;05 Ávila;Etiopía;Edad media;32,31
Ambos sexos;05 Ávila;Gambia;Edad media;29,6
Ambos sexos;05 Ávila;Ghana;Edad media;46,57
Ambos sexos;05 Ávila;Guinea;Edad media;33,03
Ambos sexos;05 Ávila;Guinea-Bissau;Edad media;0
Ambos sexos;05 Ávila;Guinea Ecuatorial;Edad media;30,37
Ambos sexos;05 Ávila;Mali;Edad media;33,35
Ambos sexos;05 Ávila;Marruecos;Edad media;28,35
Ambos sexos;05 Ávila;Mauritania;Edad media;37,73
Ambos sexos;05 Ávila;Nigeria;Edad media;31,33
Ambos sexos;05 Ávila;Sudáfrica;Edad media;38,29
Ambos sexos;05 Ávila;Senegal;Edad media;40,75
Ambos sexos;05 Ávila;Túnez;Edad media;0
Ambos sexos;05 Ávila;Otros países de África;Edad media;32
Ambos sexos;05 Ávila;Canadá;Edad media;48,65
Ambos sexos;05 Ávila;Estados Unidos de América;Edad media;38,05
Ambos sexos;05 Ávila;México;Edad media;36,1
Ambos sexos;05 Ávila;Costa Rica;Edad media;45,76
Ambos sexos;05 Ávila;Cuba;Edad media;39,8
Ambos sexos;05 Ávila;El Salvador;Edad media;27,55
Ambos sexos;05 Ávila;Guatemala;Edad media;29,34
Ambos sexos;05 Ávila;Honduras;Edad media;29,51
Ambos sexos;05 Ávila;Nicaragua;Edad media;34,65
Ambos sexos;05 Ávila;Panamá;Edad media;28,99
Ambos sexos;05 Ávila;República Dominicana;Edad media;31,04
Ambos sexos;05 Ávila;Argentina;Edad media;38,58
Ambos sexos;05 Ávila;Bolivia;Edad media;36,86
Ambos sexos;05 Ávila;Brasil;Edad media;36,35
Ambos sexos;05 Ávila;Colombia;Edad media;34,69
Ambos sexos;05 Ávila;Chile;Edad media;40,07
Ambos sexos;05 Ávila;Ecuador;Edad media;36,16
Ambos sexos;05 Ávila;Paraguay;Edad media;34,17
Ambos sexos;05 Ávila;Perú;Edad media;35,95
Ambos sexos;05 Ávila;Uruguay;Edad media;39,69
Ambos sexos;05 Ávila;Venezuela;Edad media;32,92
Ambos sexos;05 Ávila;Otros países de América;Edad media;40,9
Ambos sexos;05 Ávila;Bangladesh;Edad media;25,87
Ambos sexos;05 Ávila;China;Edad media;29,96
Ambos sexos;05 Ávila;Filipinas;Edad media;42,99
Ambos sexos;05 Ávila;India;Edad media;29,53
Ambos sexos;05 Ávila;Indonesia;Edad media;39,74
Ambos sexos;05 Ávila;Iraq;Edad media;30,51
Ambos sexos;05 Ávila;Irán;Edad media;0
Ambos sexos;05 Ávila;Israel;Edad media;45,83
Ambos sexos;05 Ávila;Japón;Edad media;50,76
Ambos sexos;05 Ávila;Jordania;Edad media;0
Ambos sexos;05 Ávila;Líbano;Edad media;20,84
Ambos sexos;05 Ávila;Nepal;Edad media;0
Ambos sexos;05 Ávila;Pakistán;Edad media;35,51
Ambos sexos;05 Ávila;Corea;Edad media;48,18
Ambos sexos;05 Ávila;Siria;Edad media;25,03
Ambos sexos;05 Ávila;Tailandia;Edad media;38,56
Ambos sexos;05 Ávila;Turquía;Edad media;32,1
Ambos sexos;05 Ávila;Vietnam;Edad media;37,39
Ambos sexos;05 Ávila;Kazajstán;Edad media;0
Ambos sexos;05 Ávila;Otros países de Asia;Edad media;29,8
Ambos sexos;05 Ávila;Australia;Edad media;48,09
Ambos sexos;05 Ávila;Apátridas;Edad media;34,02
Ambos sexos;05 Ávila;Otros países de Oceanía;Edad media;0
Ambos sexos;09 Burgos;Total;Edad media;46,86
Ambos sexos;09 Burgos;Albania;Edad media;44,86
Ambos sexos;09 Burgos;Austria;Edad media;39,44
Ambos sexos;09 Burgos;Bélgica;Edad media;44,32
Ambos sexos;09 Burgos;Bulgaria;Edad media;36,66
Ambos sexos;09 Burgos;Dinamarca;Edad media;38,82
Ambos sexos;09 Burgos;España;Edad media;47,92
Ambos sexos;09 Burgos;Finlandia;Edad media;41,08
Ambos sexos;09 Burgos;Francia;Edad media;44,89
Ambos sexos;09 Burgos;Grecia;Edad media;37,92
Ambos sexos;09 Burgos;Hungría;Edad media;32,54
Ambos sexos;09 Burgos;Irlanda;Edad media;37,4
Ambos sexos;09 Burgos;Italia;Edad media;40,42
Ambos sexos;09 Burgos;Noruega;Edad media;55,12
Ambos sexos;09 Burgos;Países Bajos;Edad media;48,78
Ambos sexos;09 Burgos;Polonia;Edad media;37,87
Ambos sexos;09 Burgos;Portugal;Edad media;40,98
Ambos sexos;09 Burgos;Andorra;Edad media;0
Ambos sexos;09 Burgos;Reino Unido;Edad media;41,05
Ambos sexos;09 Burgos;Alemania;Edad media;46,99
Ambos sexos;09 Burgos;Rumanía;Edad media;34,61
Ambos sexos;09 Burgos;Suecia;Edad media;42,49
Ambos sexos;09 Burgos;Suiza;Edad media;53,6
Ambos sexos;09 Burgos;Ucrania;Edad media;37,16
Ambos sexos;09 Burgos;Letonia;Edad media;44,58
Ambos sexos;09 Burgos;Moldavia;Edad media;29,12
Ambos sexos;09 Burgos;Belarús;Edad media;41,3
Ambos sexos;09 Burgos;Georgia;Edad media;36,14
Ambos sexos;09 Burgos;Estonia;Edad media;38,6
Ambos sexos;09 Burgos;Lituania;Edad media;40,43
Ambos sexos;09 Burgos;República Checa;Edad media;41,31
Ambos sexos;09 Burgos;República Eslovaca;Edad media;36,81
Ambos sexos;09 Burgos;Croacia;Edad media;30,31
Ambos sexos;09 Burgos;Armenia;Edad media;27,75
Ambos sexos;09 Burgos;Rusia;Edad media;38,91
Ambos sexos;09 Burgos;Serbia;Edad media;32,4
Ambos sexos;09 Burgos;Otros países de Europa;Edad media;35,08
Ambos sexos;09 Burgos;Angola;Edad media;40,12
Ambos sexos;09 Burgos;Argelia;Edad media;30,01
Ambos sexos;09 Burgos;Cabo Verde;Edad media;43,9
Ambos sexos;09 Burgos;Camerún;Edad media;32,39
Ambos sexos;09 Burgos;Costa de Marfil;Edad media;30,69
Ambos sexos;09 Burgos;Egipto;Edad media;40,01
Ambos sexos;09 Burgos;Etiopía;Edad media;42,77
Ambos sexos;09 Burgos;Gambia;Edad media;28,37
Ambos sexos;09 Burgos;Ghana;Edad media;28,87
Ambos sexos;09 Burgos;Guinea;Edad media;28,66
Ambos sexos;09 Burgos;Guinea-Bissau;Edad media;28,77
Ambos sexos;09 Burgos;Guinea Ecuatorial;Edad media;29,58
Ambos sexos;09 Burgos;Mali;Edad media;29,16
Ambos sexos;09 Burgos;Marruecos;Edad media;30,3
Ambos sexos;09 Burgos;Mauritania;Edad media;34,21
Ambos sexos;09 Burgos;Nigeria;Edad media;33,03
Ambos sexos;09 Burgos;Sudáfrica;Edad media;30,05
Ambos sexos;09 Burgos;Senegal;Edad media;31,82
Ambos sexos;09 Burgos;Túnez;Edad media;28,42
Ambos sexos;09 Burgos;Otros países de África;Edad media;34,48
Ambos sexos;09 Burgos;Canadá;Edad media;40,49
Ambos sexos;09 Burgos;Estados Unidos de América;Edad media;39,18
Ambos sexos;09 Burgos;México;Edad media;36,74
Ambos sexos;09 Burgos;Costa Rica;Edad media;33,27
Ambos sexos;09 Burgos;Cuba;Edad media;38,05
Ambos sexos;09 Burgos;El Salvador;Edad media;31,52
Ambos sexos;09 Burgos;Guatemala;Edad media;35,74
